q1_deg,q2_deg,q3_deg,q4_deg
1.2872,-17.9504,16.8305,-89.6687
1.2872,-17.9504,16.8305,-89.6685
1.3979,-17.8676,16.8660,-89.6655
1.3979,-17.8673,16.8657,-89.6353
1.5108,-17.8638,16.8615,-89.6389
1.5108,-17.8637,16.8614,-89.6058
1.6215,-17.8599,16.8570,-89.6097
1.6215,-17.8598,16.8568,-89.5772
1.7344,-17.8557,16.8520,-89.5811
1.7344,-17.8556,16.8519,-89.5479
1.8451,-17.8513,16.8468,-89.5519
1.8451,-17.8512,16.8467,-89.5194
1.9580,-17.8465,16.8412,-89.5233
1.9580,-17.8464,16.8410,-89.4901
2.0687,-17.8416,16.8354,-89.4941
2.0686,-17.8414,16.8352,-89.4616
2.1815,-17.8362,16.8291,-89.4655
2.1815,-17.8361,16.8289,-89.4324
2.2921,-17.7524,16.8607,-89.4313
2.2921,-17.7521,16.8604,-89.4016
2.4049,-17.7464,16.8536,-89.4053
2.4049,-17.7462,16.8535,-89.3720
2.5155,-17.7403,16.8465,-89.3760
2.5155,-17.7402,16.8463,-89.3433
2.6283,-17.7338,16.8389,-89.3473
2.6283,-17.7337,16.8387,-89.3140
2.7388,-17.7272,16.8311,-89.3181
2.7388,-17.7271,16.8309,-89.2854
2.8516,-17.6401,16.8614,-89.2829
2.8516,-17.6398,16.8611,-89.2533
2.9621,-17.6328,16.8528,-89.2570
2.9621,-17.6326,16.8526,-89.2241
3.0748,-17.6252,16.8438,-89.2282
3.0748,-17.6250,16.8437,-89.1947
3.1852,-17.6175,16.8347,-89.1989
3.1852,-17.6174,16.8346,-89.1660
3.2979,-17.6094,16.8251,-89.1701
3.2979,-17.6092,16.8250,-89.1366
3.4083,-17.5223,16.8529,-89.1331
3.4083,-17.5220,16.8526,-89.1047
3.5209,-17.5134,16.8425,-89.1083
3.5209,-17.5133,16.8423,-89.0747
3.6312,-17.5046,16.8321,-89.0789
3.6312,-17.5045,16.8319,-89.0459
3.7438,-17.4954,16.8212,-89.0501
3.7438,-17.4953,16.8210,-89.0164
3.8541,-17.4054,16.8480,-89.0118
3.8541,-17.4051,16.8477,-88.9839
3.9666,-17.3955,16.8363,-88.9875
3.9666,-17.3953,16.8361,-88.9537
4.0768,-17.3856,16.8246,-88.9581
4.0768,-17.3854,16.8244,-88.9249
4.1892,-17.2958,16.8492,-88.9197
4.1892,-17.2956,16.8489,-88.8913
4.2994,-17.2853,16.8367,-88.8951
4.2994,-17.2852,16.8365,-88.8618
4.4118,-17.2744,16.8238,-88.8662
4.4118,-17.2743,16.8236,-88.8321
4.5219,-17.1822,16.8481,-88.8261
4.5219,-17.1819,16.8477,-88.7988
4.6342,-17.1706,16.8343,-88.8025
4.6342,-17.1705,16.8342,-88.7683
4.7442,-17.1592,16.8207,-88.7729
4.7442,-17.1590,16.8205,-88.7393
4.8564,-17.0672,16.8427,-88.7327
4.8564,-17.0670,16.8423,-88.7050
4.9664,-17.0551,16.8282,-88.7088
4.9664,-17.0550,16.8280,-88.6752
5.0786,-17.0426,16.8133,-88.6798
5.0785,-17.0424,16.8131,-88.6453
5.1907,-16.9480,16.8347,-88.6379
5.1906,-16.9477,16.8344,-88.6106
5.3005,-16.9350,16.8192,-88.6145
5.3005,-16.9349,16.8191,-88.5806
5.4125,-16.8412,16.8389,-88.5729
5.4125,-16.8409,16.8386,-88.5456
5.5223,-16.8277,16.8228,-88.5495
5.5223,-16.8276,16.8227,-88.5155
5.6343,-16.8139,16.8063,-88.5203
5.6342,-16.8137,16.8061,-88.4855
5.7440,-16.7176,16.8257,-88.4770
5.7439,-16.7174,16.8253,-88.4508
5.8558,-16.7031,16.8083,-88.4547
5.8558,-16.7030,16.8081,-88.4198
5.9654,-16.6887,16.7910,-88.4248
5.9654,-16.6886,16.7909,-88.3904
6.0772,-16.5927,16.8081,-88.3814
6.0772,-16.5925,16.8078,-88.3548
6.1867,-16.5777,16.7901,-88.3588
6.1867,-16.5776,16.7899,-88.3244
6.2984,-16.4793,16.8068,-88.3146
6.2984,-16.4790,16.8065,-88.2883
6.4078,-16.4638,16.7881,-88.2923
6.4078,-16.4636,16.7879,-88.2577
6.5194,-16.3662,16.8032,-88.2478
6.5194,-16.3659,16.8028,-88.2215
6.6287,-16.3501,16.7838,-88.2256
6.6287,-16.3500,16.7837,-88.1908
6.7402,-16.2502,16.7986,-88.1802
6.7402,-16.2499,16.7983,-88.1542
6.8494,-16.1515,16.8122,-88.1424
6.8494,-16.1512,16.8119,-88.1171
6.9608,-16.1343,16.7915,-88.1212
6.9608,-16.1342,16.7914,-88.0854
7.0699,-16.0333,16.8050,-88.0742
7.0699,-16.0331,16.8047,-88.0491
7.1812,-16.0156,16.7837,-88.0532
7.1812,-16.0155,16.7835,-88.0172
7.2902,-15.9155,16.7955,-88.0060
7.2902,-15.9153,16.7952,-87.9808
7.4014,-15.8973,16.7735,-87.9850
7.4014,-15.8972,16.7733,-87.9488
7.5103,-15.7948,16.7850,-87.9368
7.5103,-15.7945,16.7847,-87.9120
7.6214,-15.6929,16.7947,-87.8985
7.6213,-15.6927,16.7943,-87.8730
7.7302,-15.6743,16.7721,-87.8773
7.7302,-15.6742,16.7719,-87.8415
7.8411,-15.5701,16.7815,-87.8288
7.8411,-15.5699,16.7812,-87.8034
7.9498,-15.4673,16.7900,-87.7893
7.9498,-15.4671,16.7897,-87.7647
8.0606,-15.4476,16.7660,-87.7691
8.0606,-15.4475,16.7658,-87.7322
8.1692,-15.3425,16.7742,-87.7190
8.1692,-15.3423,16.7739,-87.6945
8.2799,-15.2381,16.7806,-87.6796
8.2799,-15.2378,16.7803,-87.6544
8.3884,-15.2180,16.7561,-87.6590
8.3883,-15.2179,16.7559,-87.6224
8.4989,-15.1112,16.7622,-87.6085
8.4989,-15.1110,16.7619,-87.5835
8.6073,-15.0059,16.7674,-87.5680
8.6072,-15.0057,16.7671,-87.5438
8.7177,-14.8980,16.7721,-87.5275
8.7177,-14.8977,16.7717,-87.5028
8.8259,-14.8769,16.7462,-87.5076
8.8259,-14.8768,16.7461,-87.4704
8.9362,-14.7701,16.7495,-87.4562
8.9362,-14.7698,16.7491,-87.4311
9.0443,-14.6613,16.7530,-87.4143
9.0443,-14.6611,16.7526,-87.3905
9.1545,-14.5534,16.7547,-87.3737
9.1545,-14.5531,16.7544,-87.3489
9.2625,-14.4436,16.7569,-87.3317
9.2624,-14.4433,16.7566,-87.3079
9.3725,-14.4209,16.7289,-87.3128
9.3725,-14.4208,16.7288,-87.2742
9.4803,-14.3123,16.7298,-87.2592
9.4803,-14.3120,16.7294,-87.2349
9.5902,-14.2009,16.7298,-87.2169
9.5902,-14.2006,16.7294,-87.1926
9.6979,-14.0911,16.7291,-87.1748
9.6979,-14.0909,16.7288,-87.1510
9.8077,-13.9787,16.7278,-87.1325
9.8076,-13.9784,16.7275,-87.1082
9.9152,-13.8680,16.7259,-87.0900
9.9152,-13.8677,16.7255,-87.0662
10.0248,-13.7546,16.7232,-87.0472
10.0248,-13.7543,16.7229,-87.0230
10.1322,-13.6429,16.7200,-87.0043
10.1322,-13.6426,16.7197,-86.9806
10.2417,-13.5285,16.7160,-86.9612
10.2417,-13.5282,16.7157,-86.9370
10.3489,-13.4158,16.7115,-86.9179
10.3489,-13.4156,16.7112,-86.8942
10.4583,-13.3005,16.7062,-86.8743
