[q1_deg,q2_deg,q3_deg,q4_deg],
[-18.5641,1.0103,14.0908,93.1163],
[-18.4359,1.1125,14.1448,93.1163],
[-18.3043,1.0661,14.2165,93.1163],
[-18.1751,1.0207,14.2864,93.1163],
[-18.0431,0.9747,14.3573,93.1163],
[-17.9135,0.9300,14.4262,93.1163],
[-17.7811,0.8846,14.4960,93.1163],
[-17.6512,0.8405,14.5639,93.1163],
[-17.5184,0.7958,14.6326,93.1163],
[-17.3880,0.8995,14.6832,93.1163],
[-17.2549,0.8558,14.7506,93.1163],
[-17.1242,0.8131,14.8165,93.1163],
[-16.9906,0.7698,14.8831,93.1163],
[-16.8595,0.7277,14.9479,93.1163],
[-16.7256,0.8361,14.9963,93.1163],
[-16.5941,0.7951,15.0598,93.1163],
[-16.4599,0.7532,15.1243,93.1163],
[-16.3280,0.7125,15.1870,93.1163],
[-16.1934,0.6714,15.2504,93.1163],
[-16.0612,0.7802,15.2947,93.1163],
[-15.9262,0.7400,15.3568,93.1163],
[-15.7936,0.7008,15.4174,93.1163],
[-15.6583,0.6610,15.4788,93.1163],
[-15.5254,0.7749,15.5200,93.1163],
[-15.3897,0.7362,15.5800,93.1163],
[-15.2564,0.6984,15.6385,93.1163],
[-15.1203,0.8102,15.6792,93.1163],
[-14.9868,0.7734,15.7364,93.1163],
[-14.8503,0.7358,15.7945,93.1163],
[-14.7164,0.8532,15.8315,93.1163],
[-14.5797,0.8166,15.8883,93.1163],
[-14.4454,0.7809,15.9436,93.1163],
[-14.3083,0.8962,15.9800,93.1163],
[-14.1738,0.8615,16.0340,93.1163],
[-14.0363,0.8262,16.0889,93.1163],
[-13.8987,0.9462,16.1227,93.1163],
[-13.7637,0.9125,16.1751,93.1163],
[-13.6258,1.0308,16.2077,93.1163],
[-13.4904,0.9979,16.2591,93.1163],
[-13.3522,0.9644,16.3113,93.1163],
[-13.2165,1.0880,16.3402,93.1163],
[-13.0779,1.0556,16.3910,93.1163],
[-12.9420,1.0238,16.4405,93.1163],
[-12.8031,1.1454,16.4687,93.1163],
[-12.6668,1.1147,16.5169,93.1163],
[-12.5277,1.2405,16.5430,93.1163],
[-12.3911,1.2106,16.5902,93.1163],
[-12.2516,1.3346,16.6151,93.1163],
[-12.1148,1.3053,16.6612,93.1163],
[-11.9750,1.4337,16.6840,93.1163],
[-11.8379,1.5606,16.7049,93.1163],
[-11.6979,1.5319,16.7503,93.1163],
[-11.5604,1.6628,16.7694,93.1163],
[-11.4201,1.6349,16.8137,93.1163],
[-11.2825,1.7640,16.8317,93.1163],
[-11.1419,1.7368,16.8749,93.1163],
[-11.0039,1.8701,16.8908,93.1163],
[-10.8631,2.0008,16.9067,93.1163],
[-10.7248,1.9753,16.9474,93.1163],
[-10.5837,2.1101,16.9614,93.1163],
[-10.4453,2.2433,16.9737,93.1163],
[-10.3039,2.2184,17.0136,93.1163],
[-10.1652,2.3556,17.0240,93.1163],
[-10.0236,2.4902,17.0343,93.1163],
[-9.8846,2.4670,17.0718,93.1163],
[-9.7427,2.6057,17.0803,93.1163],
[-9.6035,2.7426,17.0871,93.1163],
