q1_deg,q2_deg,q3_deg
-18.5646,-6.2994,9.4604
-18.4359,-6.2430,9.5753
-18.3043,-6.2947,9.6480
-18.1751,-6.3454,9.7189
-18.0431,-6.3967,9.7907
-17.9135,-6.4466,9.8606
-17.7811,-6.4972,9.9314
-17.6512,-6.5464,10.0002
-17.5184,-6.5963,10.0699
-17.3880,-6.5378,10.1790
-17.2549,-6.5866,10.2473
-17.1242,-6.6343,10.3140
-16.9906,-6.6827,10.3815
-16.8595,-6.7297,10.4472
-16.7256,-6.6673,10.5553
-16.5941,-6.7133,10.6196
-16.4599,-6.7601,10.6850
-16.3280,-6.8056,10.7485
-16.1934,-6.8516,10.8128
-16.0612,-6.7878,10.9156
-15.9262,-6.8328,10.9786
-15.7936,-6.8768,11.0400
-15.6583,-6.9213,11.1021
-15.5254,-6.8530,11.2031
-15.3897,-6.8964,11.2639
-15.2564,-6.9389,11.3232
-15.1203,-6.8719,11.4224
-14.9868,-6.9133,11.4804
-14.8503,-6.9554,11.5393
-14.7164,-6.8835,11.6360
-14.5797,-6.9245,11.6935
-14.4454,-6.9647,11.7496
-14.3083,-6.8940,11.8446
-14.1738,-6.9330,11.8994
-14.0363,-6.9728,11.9550
-13.8987,-6.8980,12.0486
-13.7637,-6.9359,12.1017
-13.6258,-6.8620,12.1929
-13.4904,-6.8990,12.2450
-13.3522,-6.9368,12.2979
-13.2165,-6.8580,12.3867
-13.0779,-6.8947,12.4382
-12.9420,-6.9305,12.4884
-12.8031,-6.8529,12.5753
-12.6668,-6.8876,12.6241
-12.5277,-6.8064,12.7101
-12.3911,-6.8403,12.7579
-12.2516,-6.7600,12.8416
-12.1148,-6.7931,12.8883
-11.9750,-6.7091,12.9710
-11.8379,-6.6254,13.0507
-11.6979,-6.6580,13.0968
-11.5604,-6.5710,13.1758
-11.4201,-6.6027,13.2208
-11.2825,-6.5167,13.2975
-11.1419,-6.5476,13.3414
-11.0039,-6.4579,13.4172
-10.8631,-6.3699,13.4919
-10.7248,-6.3989,13.5332
-10.5837,-6.3075,13.6072
-10.4453,-6.2167,13.6783
-10.3039,-6.2451,13.7188
-10.1652,-6.1508,13.7892
-10.0236,-6.0583,13.8584
-9.8846,-6.0849,13.8965
-9.7427,-5.9889,13.9649
-9.6035,-5.8936,14.0306
-9.4615,-5.7955,14.0966
-9.3220,-5.8204,14.1325
