q1_deg,q2_deg,q3_deg
-35.1187,88.3740,99.9889
-35.2491,88.3627,99.9214
-35.3749,88.3516,99.8556
-35.5005,88.3405,99.7896
-35.6294,88.3292,99.7212
-35.7541,88.3184,99.6546
-35.8784,88.3075,99.5877
-36.0061,88.2965,99.5184
-36.1296,88.2858,99.4509
-36.2528,88.2753,99.3831
-36.3793,88.2644,99.3129
-36.5016,88.2540,99.2445
-36.6236,88.2437,99.1758
-36.7489,88.2331,99.1047
-36.8701,88.2229,99.0354
-36.9909,88.2129,98.9658
-37.1150,88.2026,98.8938
-37.2350,88.1926,98.8236
-37.3547,88.1828,98.7532
-37.4776,88.1728,98.6803
-37.5965,88.1631,98.6092
-37.7150,88.1536,98.5378
-37.8367,88.1438,98.4640
-37.9544,88.1345,98.3921
-38.0718,88.1252,98.3198
-38.1923,88.1157,98.2451
-38.3089,88.1066,98.1723
-38.4252,88.0977,98.0991
-38.5445,88.0885,98.0235
-38.6600,88.0797,97.9498
-38.7751,88.0710,97.8758
-38.8933,88.0622,97.7992
-39.0077,88.0537,97.7246
-39.1216,88.0453,97.6497
-39.2387,88.0367,97.5723
-39.3519,88.0286,97.4968
-39.4648,88.0205,97.4210
-39.5807,88.0123,97.3427
-39.6929,88.0044,97.2663
-39.8046,87.9967,97.1896
-39.9194,87.9888,97.1104
-40.0304,87.9813,97.0331
-40.1411,87.9739,96.9556
-40.2548,87.9663,96.8754
-40.3647,87.9591,96.7973
-40.3645,87.5579,97.1841
-40.3645,87.4252,97.3098
-40.3645,87.2886,97.4402
-40.3645,87.1560,97.5664
-40.3645,87.0233,97.6923
-40.3645,86.8866,97.8218
-40.3645,86.7538,97.9472
-40.3645,86.6210,98.0724
-40.3645,86.4842,98.2011
-40.3645,86.3513,98.3257
-40.3645,86.2183,98.4500
-40.3645,86.0813,98.5779
-40.3645,85.9483,98.7017
-40.3645,85.8153,98.8252
-40.3645,85.6781,98.9522
-40.3645,85.5450,99.0752
-40.3645,85.4118,99.1980
-40.3645,85.2745,99.3242
-40.3645,85.1412,99.4464
-40.3645,85.0078,99.5683
-40.3645,84.8704,99.6937
-40.3645,84.7369,99.8151
-40.3645,84.6034,99.9362
