    [9.6830, 34.6266, 3.1735, -26.6322],
    [9.7767, 34.7587, 3.0685, -26.6322],
    [9.8685, 34.7672, 3.0448, -26.6322],
    [9.8685, 34.8896, 2.9639, -26.6322],
    [9.9602, 35.0243, 2.8567, -26.6322],
    [9.9602, 35.1467, 2.7752, -26.6322],
    [9.9602, 35.2691, 2.6936, -26.6322],
    [9.9602, 35.3953, 2.6093, -26.6322],
    [9.9602, 35.5178, 2.5273, -26.6322],
    [9.9602, 35.6403, 2.4451, -26.6322],
    [9.9602, 35.7665, 2.3601, -26.6322],
    [9.9602, 35.8891, 2.2774, -26.6322],
    [9.9602, 36.0117, 2.1945, -26.6322],
    [9.9602, 36.1380, 2.1089, -26.6322],
    [9.9602, 36.2607, 2.0255, -26.6322],
    [9.9602, 36.3833, 1.9420, -26.6322],
    [9.9602, 36.5097, 1.8556, -26.6322],
    [9.9602, 36.6325, 1.7716, -26.6322],
    [9.9602, 36.7552, 1.6874, -26.6322],
    [9.9602, 36.8817, 1.6004, -26.6322],
    [9.9602, 37.0045, 1.5157, -26.6322],
    [9.9602, 37.1274, 1.4308, -26.6322],
    [9.9602, 37.2540, 1.3431, -26.6322],
    [9.9602, 37.3769, 1.2577, -26.6322],
    [9.9602, 37.4998, 1.1721, -26.6322],
    [9.9602, 37.6264, 1.0837, -26.6322],
    [9.9602, 37.7494, 0.9977, -26.6322],
    [9.9602, 37.8724, 0.9115, -26.6322],
    [9.9602, 37.9992, 0.8224, -26.6322],
    [9.9602, 38.1222, 0.7357, -26.6322],
    [9.9602, 38.2453, 0.6488, -26.6322],
    [9.9602, 38.3722, 0.5590, -26.6322],
    [9.9602, 38.4953, 0.4716, -26.6322],
    [9.9602, 38.6185, 0.3840, -26.6322],
    [9.9602, 38.7454, 0.2935, -26.6322],
    [9.9602, 38.8686, 0.2055, -26.6322],
    [9.9602, 38.9919, 0.1172, -26.6322],
    [9.9602, 39.1189, 0.0260, -26.6322],
    [9.9602, 39.2422, -0.0627, -26.6322],
    [9.9602, 39.3656, -0.1517, -26.6322],
    [9.9602, 39.4927, -0.2435, -26.6322],
    [9.9602, 39.6161, -0.3330, -26.6322],
    [9.9602, 39.7395, -0.4226, -26.6322],
    [9.9602, 39.8667, -0.5152, -26.6322],
    [9.9602, 39.9902, -0.6053, -26.6322],
    [9.9602, 40.1137, -0.6956, -26.6322],
    [9.9602, 40.2410, -0.7889, -26.6322],
    [9.9602, 40.3646, -0.8796, -26.6322],
    [9.9602, 40.4882, -0.9706, -26.6322],
    [9.9602, 40.6156, -1.0646, -26.6322],
    [9.9602, 40.7392, -1.1561, -26.6322],
    [9.9602, 40.8629, -1.2478, -26.6322],
